N,Area,RelativeError,Run
26100,0.959921,0.0163089,6
26100,0.939434,0.0053818,7
26100,0.937199,0.00774806,8
26100,0.970724,0.0277458,9
26600,0.930547,0.0147905,0
26600,0.910445,0.0360735,1
26600,0.961249,0.0177144,2
26600,0.968559,0.0254537,3
26600,0.936761,0.00821212,4
26600,0.914831,0.0314299,5
26600,0.965269,0.021971,6
26600,0.942243,0.00240767,7
26600,0.933837,0.0113078,8
26600,0.938223,0.00666427,9
27100,0.959657,0.0160295,0
27100,0.916966,0.0291696,1
27100,0.945666,0.00121637,2
27100,0.943155,0.0014424,3
27100,0.949254,0.00501461,4
27100,0.952482,0.00843303,5
27100,0.959657,0.0160295,6
27100,0.92737,0.0181547,7
27100,0.920912,0.0249915,8
27100,0.934904,0.0101784,9
27600,0.948965,0.0047091,0
27600,0.958828,0.0151515,1
27600,0.946147,0.00172555,2
27600,0.934875,0.0102086,3
27600,0.924307,0.0213969,4
27600,0.963407,0.0199998,5
27600,0.911274,0.0351958,6
27600,0.960942,0.0173892,7
27600,0.963407,0.0199998,8
27600,0.944386,0.000139165,9
28100,0.9217,0.0241575,0
28100,0.959758,0.0161363,1
28100,0.946957,0.00258292,2
28100,0.944535,1.87723e-05,3
28100,0.951109,0.00697861,4
28100,0.940383,0.00437691,5
28100,0.96218,0.0187004,6
28100,0.971176,0.0282244,7
28100,0.945573,0.00111769,8
28100,0.941767,0.00291169,9
28600,0.978332,0.0358016,0
28600,0.921563,0.0243022,1
28600,0.971194,0.0282436,2
28600,0.929382,0.0160245,3
28600,0.941619,0.00306794,4
28600,0.942979,0.00162833,5
28600,0.943659,0.000908523,6
28600,0.950458,0.00628954,7
28600,0.927682,0.017824,8
28600,0.956577,0.0127678,9
29100,0.93847,0.0064023,0
29100,0.934795,0.0102932,1
29100,0.940809,0.00392627,2
29100,0.969875,0.0268473,3
29100,0.9662,0.0229564,4
29100,0.922768,0.0230271,5
29100,0.965532,0.022249,6
29100,0.944484,3.53556e-05,7
29100,0.938804,0.00604858,8
29100,0.928113,0.0173676,9
29600,0.941996,0.00266913,0
29600,0.933456,0.0117105,1
29600,0.943967,0.000582665,2
29600,0.94758,0.00324252,3
29600,0.964659,0.0213252,4
29600,0.964331,0.0209775,5
29600,0.907837,0.0388345,6
29600,0.930829,0.0144924,7
29600,0.9305,0.0148402,8
29600,0.943638,0.000930409,9
30100,0.911168,0.0353086,0
