N,Area,RelativeError,Run
23100,0.951082,0.00695071,9
23600,0.938236,0.00664969,0
23600,0.93795,0.00695296,1
23600,0.947259,0.00290321,2
23600,0.944896,0.000401264,3
23600,0.937091,0.00786276,4
23600,0.948262,0.00396465,5
23600,0.939096,0.00573989,6
23600,0.939812,0.00498172,7
23600,0.938165,0.00672551,8
23600,0.947331,0.00297903,9
24100,0.936723,0.00825222,0
24100,0.934759,0.010331,1
24100,0.952992,0.00897233,2
24100,0.937985,0.00691583,3
24100,0.944857,0.000360052,4
24100,0.944787,0.000285808,5
24100,0.948153,0.00384951,6
24100,0.941281,0.00342638,7
24100,0.956638,0.012833,8
24100,0.949415,0.00518589,9
24600,0.948255,0.00395725,0
24600,0.946331,0.00192068,1
24600,0.950385,0.00621203,2
24600,0.936507,0.00848038,3
24600,0.944683,0.000175046,4
24600,0.948873,0.00461186,5
24600,0.948598,0.00432093,6
24600,0.945576,0.0011206,7
24600,0.947637,0.00330264,8
24600,0.947843,0.00352084,9
25100,0.9464,0.00199341,0
25100,0.947949,0.00363299,1
25100,0.935964,0.00905589,2
25100,0.947881,0.0035617,3
25100,0.942697,0.00192731,4
25100,0.951517,0.00741114,5
25100,0.944245,0.000287732,6
25100,0.949363,0.00512999,7
25100,0.944717,0.000211269,8
25100,0.941148,0.00356688,9
25600,0.949173,0.00492894,0
25600,0.948446,0.00416011,1
25600,0.942175,0.00247977,2
25600,0.94805,0.00374075,3
25600,0.942307,0.00233998,4
25600,0.951483,0.00737521,5
25600,0.943891,0.000662539,6
25600,0.942175,0.00247977,7
25600,0.933461,0.0117057,8
25600,0.949305,0.00506873,9
26100,0.942256,0.00239408,0
26100,0.945558,0.00110221,1
26100,0.949055,0.00480415,2
26100,0.943875,0.000680213,3
26100,0.947371,0.00302173,4
26100,0.941867,0.0028054,5
26100,0.944846,0.000348105,6
26100,0.937529,0.00739856,7
26100,0.947695,0.00336451,8
26100,0.945558,0.00110221,9
26600,0.946654,0.00226248,0
26600,0.947734,0.003406,1
26600,0.948814,0.00454952,2
26600,0.947671,0.00333873,3
26600,0.951102,0.00697109,4
26600,0.945002,0.000513564,5
26600,0.947417,0.00306967,6
26600,0.945193,0.000715362,7
26600,0.941317,0.00338786,8
26600,0.948242,0.00394413,9
27100,0.948084,0.00377609,0
27100,0.940351,0.004411,1
27100,0.947523,0.00318186,2
27100,0.944529,1.26683e-05,3
27100,0.944592,7.86931e-05,4
27100,0.94534,0.000870992,5
27100,0.944841,0.000342793,6
27100,0.944841,0.000342793,7
27100,0.944217,0.000317456,8
27100,0.943968,0.000581556,9
27600,0.940522,0.00423015,0
27600,0.948421,0.00413276,1
27600,0.945237,0.000761668,2
27600,0.936419,0.00857367,3
27600,0.952462,0.00841146,4
27600,0.940032,0.00474878,5
27600,0.948114,0.00380862,6
27600,0.953136,0.00912458,7
27600,0.944686,0.000178209,8
27600,0.941257,0.0034522,9
28100,0.943633,0.000935646,0
28100,0.93786,0.00704847,1
28100,0.941348,0.0033553,2
28100,0.945919,0.00148401,3
28100,0.940205,0.00456513,4
28100,0.951031,0.00689641,5
28100,0.951211,0.00708743,6
28100,0.952535,0.00848829,7
28100,0.949106,0.0048588,8
28100,0.941829,0.0028459,9
28600,0.934995,0.0100811,0
28600,0.949,0.00474614,1
28600,0.945573,0.00111755,2
28600,0.943859,0.000696753,3
28600,0.945218,0.000742174,4
28600,0.94055,0.00420023,5
28600,0.943268,0.00132237,6
28600,0.940491,0.00426279,7
28600,0.943505,0.00107212,8
28600,0.940018,0.00476328,9
29100,0.94216,0.00249514,0
29100,0.952382,0.00832658,1
29100,0.944251,0.000281608,2
29100,0.949826,0.00562115,3
29100,0.946807,0.00242382,4
29100,0.946458,0.0020549,5
29100,0.947039,0.00266977,6
29100,0.940128,0.00464719,7
29100,0.940012,0.00477016,8
29100,0.936643,0.00833641,9
29600,0.945372,0.000905342,0
29600,0.942974,0.00163349,1
29600,0.952281,0.0082196,2
29600,0.949198,0.00495539,3
29600,0.944801,0.000300858,4
29600,0.949769,0.00555987,5
29600,0.944801,0.000300858,6
29600,0.944116,0.000424523,7
29600,0.946571,0.00217476,8
29600,0.955193,0.0113025,9
30100,0.942021,0.00264324,0
30100,0.946456,0.00205286,1
30100,0.947298,0.00294452,2
30100,0.944323,0.000206025,3
30100,0.948646,0.00437119,4
30100,0.940898,0.00383213,5
30100,0.943873,0.00068158,6
30100,0.938708,0.00615046,7
30100,0.946456,0.00205286,8
30100,0.952239,0.00817562,9
30600,0.947891,0.00357219,0
30600,0.940546,0.00420472,1
30600,0.951592,0.00748988,2
30600,0.943031,0.00157344,3
30600,0.938281,0.00660212,4
30600,0.939883,0.0049064,5
30600,0.947394,0.00304593,6
30600,0.937674,0.00724532,7
30600,0.941871,0.00280137,8
30600,0.94629,0.00187647,9
31100,0.942596,0.00203389,0
31100,0.943248,0.0013435,1
31100,0.9439,0.0006531,2
31100,0.946074,0.00164822,3
31100,0.946346,0.00193588,4
31100,0.950965,0.00682618,5
31100,0.941835,0.00283935,6
31100,0.949878,0.00567552,7
31100,0.9489,0.00463993,8
31100,0.954388,0.0104508,9
31600,0.960198,0.016602,0
31600,0.945116,0.000634472,1
31600,0.938752,0.00610362,2
31600,0.944796,0.000294737,3
31600,0.951053,0.00691958,4
31600,0.941212,0.00349898,5
31600,0.943833,0.00072447,6
31600,0.951962,0.00788216,7
31600,0.945865,0.00142719,8
31600,0.939875,0.00491454,9
32100,0.944189,0.000347692,0
32100,0.947874,0.00355415,1
32100,0.952244,0.00818062,2
32100,0.946084,0.00165897,3
32100,0.947506,0.00316397,4
32100,0.946084,0.00165897,5
32100,0.945136,0.000655639,6
32100,0.940556,0.00419379,7
32100,0.938924,0.00592175,8
32100,0.944189,0.000347692,9
32600,0.946711,0.00232273,0
32600,0.937172,0.00777624,1
32600,0.946037,0.00160921,2
32600,0.94837,0.00407907,3
32600,0.941734,0.0029463,4
32600,0.942927,0.00168393,5
32600,0.942875,0.00173881,6
32600,0.940179,0.00459287,7
32600,0.945052,0.000566386,8
32600,0.94583,0.00138967,9
33100,0.943285,0.00130404,0
33100,0.947472,0.0031286,1
